comm_area,ca_id,pop,long,lat,low_bw_rate,uninsured_rate,adq_child_care,perc_vacant_units,perc_sing_par_hh,comm_belong_16_18,comm_belong_20_21,perc_hh_stamps,perc_not_getting_stamps,rent_burdened_hh,homicide_rate,drug_induced_dt_rate
West Elsdon,62,18249,-87.724213,41.792977,-0.9104371790215273,-0.16104393973245965,0.19847651401203972,-0.9704061883008114,0.35137244835193643,-0.7408571392756941,1.3749438525234294,-0.28865294799866154,0.6758394433393318,1.3490143691084968,-0.34802098245960955,-0.715323752432825
Forest Glen,12,19579,-87.758358,41.993938,-0.9398184291408307,-0.6194597578184077,1.4062561223031027,-1.3035441662964278,-1.0726552049911995,0.3327172511762482,2.3509560157652407,-1.1599428556362992,0.8321300295636131,-2.000169240766853,-0.9189529287781951,-0.555102508456363
Lincoln Square,4,40412,-87.687513,41.975182,-0.9985809293794373,-0.10442524377484105,1.2731150631214114,-0.7544612528063875,-0.8116567582034552,0.3039607942891415,0.6064643555076621,-1.0197207969193385,0.8753906834147831,-0.6128302115005186,-0.9109116337596236,-0.782513306358438
Lincoln Park,7,63433,-87.649491,41.922696,-0.9985809293794373,-1.6265677724169958,1.3111553657447512,-0.28193927941308256,-1.1832245290288792,0.6969657050795853,-0.0984078438849422,-1.2637639531649554,1.380315039996614,-1.392543871444525,-0.9672006988896249,-0.9582398320100414
McKinley Park,59,15927,-87.6725,41.829927,-1.0279621794987404,0.4718877732633478,0.19847651401203972,-0.7120277172614116,-0.7838059499611396,-0.00277474583998436,0.3849527511764326,-0.32171851047132466,-0.3274406945243148,-0.49596842719430667,-0.810395446027478,-0.5395972267812216
Clearing,64,24519,-87.768517,41.779582,-1.0573434296180435,-0.46748596793229596,0.6359399941804561,-1.1203114120561397,-0.5261211710497214,0.40940113620852947,0.015475688124021014,-0.6203063193946091,-0.030106546905029168,0.40089606228543667,-0.7179205533139045,0.04960347687415434
North Center,5,35150,-87.683839,41.947811,-1.086724679737347,-1.5979958044593017,1.4442964249264438,-0.31287622854073555,-0.9111257618300856,1.2816803284507319,0.4605366963113485,-1.1975237928462596,1.5905195245762143,-2.022489878738905,-0.9672006988896249,-0.7980185880335795
Archer Heights,57,14282,-87.726365,41.810873,-1.1454871799759536,0.5034505334934716,0.07484553048618167,-0.4570494760992924,-0.8012611434787392,0.25603336614396555,0.3220221259519938,-0.4629448328313767,0.28130345734710005,1.332056826218346,-0.40833069509889675,-1.0512715220608901
Mount Greenwood,74,18633,-87.713189,41.694876,-1.1454871799759536,-1.5627510128775617,1.9483304346857067,-1.0836343076406703,-0.8086133127985233,1.8759804374509141,0.2613335081060567,-1.3309724879834934,1.9317302005307964,-1.8298921024462709,-0.8063747985181923,-0.715323752432825
Norwood Park,10,41109,-87.803451,41.985248,-1.1748684300952568,-1.2511522479606516,1.6249878623873124,-1.3183842294704615,-0.6600115397123258,1.502146497918541,0.8952219770572036,-1.0525775555062966,1.629675738610317,-0.43213171597758204,-0.9149322812689092,-0.6636394801823534
Garfield Ridge,56,35352,-87.764246,41.796185,-1.2336309303338633,-0.2798892176080197,0.6549601454921267,-1.165504467072413,-0.9229149073889477,-0.060287659614195674,0.20754882562508245,-0.9726896469539662,0.8931254406452477,-1.0225956864569012,-0.6616314881839032,-0.35870227390457105
O'Hare,76,14416,-87.893699,41.975696,-1.2630121804531664,1.6620822477535755,0.33161757319373103,-1.0511645747056173,-0.7636169129758351,1.0228722164667812,0.9263665847649357,-1.0137397133348403,0.940778183256955,0.09207975965428335,-0.9350355188153383,-0.5240919451060803
Edison Park,9,11521,-87.81378,42.007627,-1.4686809312882894,-1.8363207308545224,1.8817599050948604,-0.6586545834474461,-1.1442846256518284,2.307327290757498,1.2939500014284153,-1.3987977336652393,1.9404500017740944,-0.5388928382452427,-0.9109116337596236,-0.875544996409287
